"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","FTP Path to Experiment","Library Name","Library Strategy","Library Source","Library Selection"
"SRX549970","GSM1396263: Population mRNA-seq_MGH26Tumor; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617835","","184.47","1","7713719","385685950","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549970","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549969","GSM1396262: Single cell mRNA-seq_CSC8_H12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617834","","139.01","1","3900670","195033500","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549969","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549968","GSM1396261: Single cell mRNA-seq_CSC8_H11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617833","","129.7","1","3627336","181366800","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549968","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549967","GSM1396260: Single cell mRNA-seq_CSC8_H10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617832","","57.17","1","1535958","76797900","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549967","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549966","GSM1396259: Single cell mRNA-seq_CSC8_H09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617831","","153.63","1","4340842","217042100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549966","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549965","GSM1396258: Single cell mRNA-seq_CSC8_H08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617830","","96.13","1","2606729","130336450","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549965","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549964","GSM1396257: Single cell mRNA-seq_CSC8_H07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617829","","131.13","1","3635411","181770550","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549964","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549963","GSM1396256: Single cell mRNA-seq_CSC8_H06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617527","","80.03","1","2269276","113463800","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549963","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549962","GSM1396255: Single cell mRNA-seq_CSC8_H05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617448","","136.19","1","3836331","191816550","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549962","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549961","GSM1396254: Single cell mRNA-seq_CSC8_H04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617430","","136.33","1","3837743","191887150","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549961","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549960","GSM1396253: Single cell mRNA-seq_CSC8_H03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617431","","113.23","1","3123170","156158500","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549960","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549959","GSM1396252: Single cell mRNA-seq_CSC8_H02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617526","","82.71","1","2287369","114368450","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549959","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549958","GSM1396251: Single cell mRNA-seq_CSC8_H01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617528","","82.33","1","2291301","114565050","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549958","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549957","GSM1396250: Single cell mRNA-seq_CSC8_G12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617525","","60.24","1","1658485","82924250","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549957","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549956","GSM1396249: Single cell mRNA-seq_CSC8_G11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617524","","153.23","1","4345378","217268900","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549956","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549955","GSM1396248: Single cell mRNA-seq_CSC8_G10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617522","","52.16","1","1421440","71072000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549955","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549954","GSM1396247: Single cell mRNA-seq_CSC8_G09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617523","","119.66","1","3340705","167035250","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549954","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549953","GSM1396246: Single cell mRNA-seq_CSC8_G08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617521","","138.79","1","3888079","194403950","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549953","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549952","GSM1396245: Single cell mRNA-seq_CSC8_G07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617520","","59.52","1","1616315","80815750","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549952","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549951","GSM1396244: Single cell mRNA-seq_CSC8_G06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617519","","109.04","1","3121097","156054850","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549951","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549950","GSM1396243: Single cell mRNA-seq_CSC8_G05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617518","","143.1","1","4054164","202708200","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549950","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549949","GSM1396242: Single cell mRNA-seq_CSC8_G04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617517","","87.37","1","2417494","120874700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549949","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549948","GSM1396241: Single cell mRNA-seq_CSC8_G03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617516","","176.65","1","4950524","247526200","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549948","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549947","GSM1396240: Single cell mRNA-seq_CSC8_G02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617515","","68.04","1","1856196","92809800","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549947","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549946","GSM1396239: Single cell mRNA-seq_CSC8_G01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617514","","79.04","1","2186690","109334500","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549946","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549945","GSM1396238: Single cell mRNA-seq_CSC8_F12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617513","","213.12","1","5934751","296737550","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549945","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549944","GSM1396237: Single cell mRNA-seq_CSC8_F11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617512","","182.48","1","5119124","255956200","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549944","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549943","GSM1396236: Single cell mRNA-seq_CSC8_F10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617511","","157.39","1","4361490","218074500","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549943","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549942","GSM1396235: Single cell mRNA-seq_CSC8_F09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617510","","122.4","1","3389789","169489450","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549942","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549941","GSM1396234: Single cell mRNA-seq_CSC8_F08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617509","","88.1","1","2388688","119434400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549941","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549940","GSM1396233: Single cell mRNA-seq_CSC8_F07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617508","","91.28","1","2474829","123741450","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549940","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549939","GSM1396232: Single cell mRNA-seq_CSC8_F06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617507","","117.88","1","3347909","167395450","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549939","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549938","GSM1396231: Single cell mRNA-seq_CSC8_F05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617506","","98.49","1","2704939","135246950","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549938","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549937","GSM1396230: Single cell mRNA-seq_CSC8_F04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617505","","282.66","1","7923715","396185750","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549937","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549936","GSM1396229: Single cell mRNA-seq_CSC8_F03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617504","","149.47","1","4131262","206563100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549936","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549935","GSM1396228: Single cell mRNA-seq_CSC8_F02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617429","","66.95","1","1812863","90643150","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549935","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549934","GSM1396227: Single cell mRNA-seq_CSC8_F01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617503","","152.18","1","4268831","213441550","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549934","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549933","GSM1396226: Single cell mRNA-seq_CSC8_E12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617502","","267.66","1","7546272","377313600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549933","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549932","GSM1396225: Single cell mRNA-seq_CSC8_E11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617828","","158.13","1","4415542","220777100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549932","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549931","GSM1396224: Single cell mRNA-seq_CSC8_E10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617501","","94.69","1","2587074","129353700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549931","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549930","GSM1396223: Single cell mRNA-seq_CSC8_E09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617500","","63.53","1","1744571","87228550","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549930","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549929","GSM1396222: Single cell mRNA-seq_CSC8_E08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617499","","157.62","1","4366158","218307900","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549929","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549928","GSM1396221: Single cell mRNA-seq_CSC8_E07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617827","","137.9","1","3795165","189758250","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549928","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549927","GSM1396220: Single cell mRNA-seq_CSC8_E06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617826","","118.54","1","3360796","168039800","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549927","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549926","GSM1396219: Single cell mRNA-seq_CSC8_E05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617825","","38.98","1","1052984","52649200","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549926","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549925","GSM1396218: Single cell mRNA-seq_CSC8_E04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617824","","123.28","1","3449903","172495150","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549925","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549924","GSM1396217: Single cell mRNA-seq_CSC8_E03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617823","","204.96","1","5666787","283339350","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549924","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549923","GSM1396216: Single cell mRNA-seq_CSC8_E02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617822","","128.71","1","3569342","178467100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549923","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549922","GSM1396215: Single cell mRNA-seq_CSC8_E01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617821","","213.6","1","5988807","299440350","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549922","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549921","GSM1396214: Single cell mRNA-seq_CSC8_D12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617820","","47.71","1","1299987","64999350","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549921","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549920","GSM1396213: Single cell mRNA-seq_CSC8_D11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617819","","287.19","1","8036294","401814700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549920","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549919","GSM1396212: Single cell mRNA-seq_CSC8_D10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617818","","169.55","1","4664957","233247850","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549919","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
